transaction_amount,time_since_last_order,ip_mismatch_flag,device_type_encoded,historical_fraud_count,fraud_label
925.81,657,0,0,2,0
174.8,451,1,2,0,0
741.75,293,1,2,3,1
731.04,136,0,1,0,0
663.92,204,0,2,2,0
194.03,342,1,0,1,0
987.72,44,0,0,4,1
605.58,459,1,0,5,1
15.0,616,0,2,5,1
356.21,541,0,0,4,1
1141.85,161,0,1,4,1
1101.84,438,0,1,5,1
15.0,563,0,0,0,0
389.76,52,0,0,0,0
614.33,326,0,0,1,0
147.65,78,1,1,5,1
1099.94,699,1,1,1,1
926.09,439,0,2,0,0
880.63,717,1,1,0,0
465.62,156,1,0,2,1
447.25,289,1,2,1,0
957.11,354,0,2,0,0
114.0,581,1,0,1,0
466.92,76,1,1,3,1
1102.07,627,0,0,5,1
371.56,14,0,1,2,1
370.79,414,1,2,3,1
593.0,698,1,1,5,1
446.54,54,1,0,4,1
683.81,266,0,0,1,0
449.12,272,0,2,4,1
437.45,524,0,1,2,0
533.4,110,0,1,5,1
618.15,194,0,1,5,1
427.6,600,1,2,0,0
868.23,7,1,0,0,1
798.82,701,0,1,2,0
318.13,538,1,1,1,0
384.56,680,0,0,1,0
454.3,550,0,0,3,0
